,Year,MM/DD,Day,GWZ1,GWZ2,GWZ3,GWZ4,GWZ5,GWZ6,Zz,Sz,Spieleinsatz,I,6T_Zz,II,6T,III,5T_Zz,IV,5T,V,4T_Zz,VI,4T,VII,3T_Zz,VIII,3T,IX,2T_Zz,Total_payout,Date,gwzx_sum
0,1990,06/01/,SA,44,45,48,12,46,30,2,0,53437364.0,0,0.0,5,801560.5,5,801560.5,949,6334.73,0,0.0,120914,49.697388,0,0.0,1607023,5.368545,0,0.0,28663749.067802906,1990-01-06,225
1,1990,13/01/,SA,37,33,12,6,42,15,9,0,53935020.0,0,0.0,12,337093.84,12,337093.84,2217,2736.8843,0,0.0,102278,59.309643,0,0.0,1772874,4.9083843,0,0.0,28925943.286792755,1990-01-13,145
2,1990,20/01/,SA,8,42,40,1,17,18,10,0,53247624.0,0,0.0,6,665595.3,6,665595.3,1490,4020.3245,0,0.0,83043,72.09189,0,0.0,1648051,5.215158,0,0.0,28559000.223881245,1990-01-20,126
3,1990,27/01/,SA,12,10,42,6,9,37,44,0,52769332.0,0,0.0,9,439744.38,9,439744.38,2171,2734.4302,0,0.0,117530,50.46432,0,0.0,1999733,4.243707,0,0.0,28269199.615020275,1990-01-27,116
4,1990,03/02/,SA,29,46,48,42,35,20,45,0,57340400.0,0,0.0,3,1433510.1,3,1433510.1,1156,5580.27,0,0.0,71328,90.39607,0,0.0,1446763,6.391125,0,0.0,30746067.414727688,1990-02-03,220
5,1990,10/02/,SA,49,46,10,20,21,38,7,0,53458830.0,0,0.0,3,1336470.8,3,1336470.8,1203,4999.24,0,0.0,79271,75.82431,0,0.0,1668901,5.164029,0,0.0,28661832.76869297,1990-02-10,184
6,1990,17/02/,SA,7,25,1,49,32,15,5,0,52936496.0,0,0.0,19,208959.83,19,208959.83,7066,842.8105,0,0.0,147374,40.39191,0,0.0,1900483,4.4993525,0,0.0,28399432.63952923,1990-02-17,129
7,1990,24/02/,SA,12,17,14,27,8,46,6,0,51544800.0,0,0.0,2,1932929.9,2,1932929.9,1306,4440.0933,0,0.0,90859,63.808994,0,0.0,1778613,4.703868,0,0.0,27694463.331377983,1990-02-24,124
8,1990,03/03/,SA,45,42,43,17,4,11,27,0,52135692.0,0,0.0,2,1955088.2,2,1955088.2,1385,4234.8105,0,0.0,86358,67.899315,0,0.0,1805875,4.6527395,0,0.0,27951480.63128376,1990-03-03,162
9,1990,10/03/,SA,12,39,24,4,29,21,42,0,53243110.0,0,0.0,16,249577.06,16,249577.06,2366,2531.6013,0,0.0,118478,50.515453,0,0.0,2007143,4.294836,0,0.0,28581554.702379227,1990-03-10,129
10,1990,17/03/,SA,7,36,48,34,46,4,41,0,53145348.0,0,0.0,1,3985901.5,1,3985901.5,1050,5694.135,0,0.0,75233,79.45447,0,0.0,1577770,5.4708033,0,0.0,28559911.738702774,1990-03-17,175
11,1990,24/03/,SA,43,49,14,8,33,38,11,0,53544148.0,0,0.0,9,446201.2,9,446201.2,1607,3748.4204,0,0.0,87249,69.024155,0,0.0,1615129,5.368545,0,0.0,28748514.251086712,1990-03-24,185
12,1990,31/03/,SA,3,7,10,9,32,6,8,0,55996984.0,0,0.0,6,699962.3,6,699962.3,3114,2022.9701,0,0.0,156997,40.085136,0,0.0,2619826,3.425643,0,0.0,29966911.292669296,1990-03-31,67
13,1990,07/04/,SA,42,3,49,12,31,26,15,0,54031850.0,0,0.0,17,238375.77,17,238375.77,2708,2244.6655,0,0.0,128237,47.396584,0,0.0,2103618,4.1414495,0,0.0,28973353.577065468,1990-04-07,163
14,1990,14/04/,SA,4,28,9,34,23,24,42,0,52280944.0,0,0.0,10,392107.1,10,392107.1,1654,3555.971,0,0.0,109223,53.83884,0,0.0,1975832,4.294836,0,0.0,28090031.987133026,1990-04-14,122
15,1990,21/04/,SA,26,13,38,18,25,3,36,0,52217864.0,0,0.0,13,301256.88,13,301256.88,2638,2226.8726,0,0.0,138321,42.437073,0,0.0,2234081,3.7835462,0,0.0,28029855.598861456,1990-04-21,123
16,1990,28/04/,SA,20,47,5,17,43,19,3,0,52646960.0,0,0.0,3,1316174.0,3,1316174.0,1841,3217.1392,0,0.0,112347,52.714,0,0.0,2067205,4.09032,0,0.0,28197587.214360714,1990-04-28,151
17,1990,05/05/,SA,20,7,8,23,35,42,43,0,50800450.0,0,0.0,1,3810033.2,1,3810033.2,1335,4280.9287,0,0.0,80002,71.427216,0,0.0,1616652,5.061771,0,0.0,27232548.50449562,1990-05-05,135
18,1990,12/05/,SA,19,21,3,4,41,29,16,0,51408724.0,0,0.0,6,642609.06,6,642609.06,2052,2818.435,0,0.0,117956,48.981586,0,0.0,2086649,3.9880621,0,0.0,27594095.38558221,1990-05-12,117
19,1990,19/05/,SA,3,25,14,6,41,40,39,0,51149436.0,0,0.0,3,1278735.9,3,1278735.9,1496,3846.4348,0,0.0,87971,65.394,0,0.0,1680642,4.9083843,0,0.0,27428693.905010223,1990-05-19,129
20,1990,26/05/,SA,46,49,1,12,22,18,15,0,49696856.0,0,0.0,6,621210.6,6,621210.6,1492,3747.2446,0,0.0,86325,64.72932,0,0.0,1672365,4.806126,0,0.0,26670771.85627985,1990-05-26,148
