Index;Year;MM/DD;Day;GWZ1;GWZ2;GWZ3;GWZ4;GWZ5;GWZ6;Zz;Sz;Spieleinsatz;I;6T_Zz;II;6T;III;5T_Zz;IV;5T;V;4T_Zz;VI;4T;VII;3T_Zz;VIII;3T;IX;2T_Zz
1;1990;06/01/;SA;44;45;48;12;46;30;2;na;104514786,00;na;na;5;1567721,70;5;1567721,70;949;12389,70;na;na;120914;97,20;na;na;1607023;10,50;na;na
2;1990;13/01/;SA;37;33;12;6;42;15;9;na;105488116,00;na;na;12;659300,70;12;659300,70;2217;5352,90;na;na;102278;116,00;na;na;1772874;9,60;na;na
3;1990;20/01/;SA;8;42;40;1;17;18;10;na;104143682,00;na;na;6;1301796,00;6;1301796,00;1490;7863,10;na;na;83043;141,00;na;na;1648051;10,20;na;na
4;1990;27/01/;SA;12;10;42;6;9;37;44;na;103208216,00;na;na;9;860068,40;9;860068,40;2171;5348,10;na;na;117530;98,70;na;na;1999733;8,30;na;na
5;1990;03/02/;SA;29;46;48;42;35;20;45;na;112148490,00;na;na;3;2803712,20;3;2803712,20;1156;10914,10;na;na;71328;176,80;na;na;1446763;12,50;na;na
6;1990;10/02/;SA;49;46;10;20;21;38;7;na;104556768,00;na;na;3;2613919,20;3;2613919,20;1203;9777,70;na;na;79271;148,30;na;na;1668901;10,10;na;na
7;1990;17/02/;SA;7;25;1;49;32;15;5;na;103535165,00;na;na;19;408691,40;19;408691,40;7066;1648,40;na;na;147374;79,00;na;na;1900483;8,80;na;na
8;1990;24/02/;SA;12;17;14;27;8;46;6;na;100813230,00;na;na;2;3780496,10;2;3780496,10;1306;8684,10;na;na;90859;124,80;na;na;1778613;9,20;na;na
9;1990;03/03/;SA;45;42;43;17;4;11;27;na;101968917,00;na;na;2;3823834,30;2;3823834,30;1385;8282,60;na;na;86358;132,80;na;na;1805875;9,10;na;na
10;1990;10/03/;SA;12;39;24;4;29;21;42;na;104134855,00;na;na;16;488132,10;16;488132,10;2366;4951,40;na;na;118478;98,80;na;na;2007143;8,40;na;na
11;1990;17/03/;SA;7;36;48;34;46;4;41;na;103943652,00;na;na;1;7795773,90;1;7795773,90;1050;11136,80;na;na;75233;155,40;na;na;1577770;10,70;na;na
12;1990;24/03/;SA;43;49;14;8;33;38;11;na;104723632,00;na;na;9;872696,90;9;872696,90;1607;7331,30;na;na;87249;135,00;na;na;1615129;10,50;na;na
13;1990;31/03/;SA;3;7;10;9;32;6;8;na;109520981,00;na;na;6;1369012,20;6;1369012,20;3114;3956,60;na;na;156997;78,40;na;na;2619826;6,70;na;na
14;1990;07/04/;SA;42;3;49;12;31;26;15;na;105677493,00;na;na;17;466224,20;17;466224,20;2708;4390,20;na;na;128237;92,70;na;na;2103618;8,10;na;na
15;1990;14/04/;SA;4;28;9;34;23;24;42;na;102253019,00;na;na;10;766897,60;10;766897,60;1654;6954,90;na;na;109223;105,30;na;na;1975832;8,40;na;na
16;1990;21/04/;SA;26;13;38;18;25;3;36;na;102129642,00;na;na;13;589209,40;13;589209,40;2638;4355,40;na;na;138321;83,00;na;na;2234081;7,40;na;na
17;1990;28/04/;SA;20;47;5;17;43;19;3;na;102968881,00;na;na;3;2574222,00;3;2574222,00;1841;6292,20;na;na;112347;103,10;na;na;2067205;8,00;na;na
18;1990;05/05/;SA;20;7;8;23;35;42;43;na;99357397,00;na;na;1;7451804,70;1;7451804,70;1335;8372,80;na;na;80002;139,70;na;na;1616652;9,90;na;na
19;1990;12/05/;SA;19;21;3;4;41;29;16;na;100547088,00;na;na;6;1256838,60;6;1256838,60;2052;5512,40;na;na;117956;95,80;na;na;2086649;7,80;na;na
20;1990;19/05/;SA;3;25;14;6;41;40;39;na;100039965,00;na;na;3;2500999,10;3;2500999,10;1496;7523,00;na;na;87971;127,90;na;na;1680642;9,60;na;na
21;1990;26/05/;SA;46;49;1;12;22;18;15;na;97198959,00;na;na;6;1214986,90;6;1214986,90;1492;7329,00;na;na;86325;126,60;na;na;1672365;9,40;na;na
22;1990;02/06/;SA;11;49;35;34;1;26;14;na;109044019,00;na;na;6;1363050,20;6;1363050,20;1638;7489,20;na;na;82057;149,40;na;na;1613289;10,90;na;na
23;1990;09/06/;SA;36;9;28;3;37;32;20;na;99071209,00;na;na;3;2476780,20;3;2476780,20;1587;7023,00;na;na;100834;110,50;na;na;1911282;8,40;na;na
24;1990;16/06/;SA;17;39;6;18;26;35;3;na;98447157,00;na;na;6;1230589,40;6;1230589,40;1739;6368,70;na;na;101506;109,10;na;na;1834522;8,70;na;na
25;1990;23/06/;SA;36;40;1;44;19;25;48;na;98876658,00;na;na;5;1483149,80;5;1483149,80;1265;8793,30;na;na;76965;144,50;na;na;1588208;10,10;na;na
26;1990;30/06/;SA;28;2;4;35;5;27;47;na;98591373,00;na;na;4;1848588,20;4;1848588,20;1425;7783,50;na;na;78107;142,00;na;na;1651165;9,70;na;na
